State,State Abbreviation,Year,Gender,Education Level of Mother,Education Level Code,Number of Births,Average Age of Mother (years),Average Birth Weight (g),State Code,Division,Region
Alaska,AK,2018,M,"Bachelor's degree (BA, AB, BS)",6,899,31.3,3474.1,AK,West,Pacific
Alaska,AK,2018,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,312,33.3,3499.7,AK,West,Pacific
Alaska,AK,2018,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,113,34.3,3412.3,AK,West,Pacific
Alaska,AK,2018,M,Unknown or Not Stated,-9,81,28.7,3247.4,AK,West,Pacific
Alaska,AK,2019,F,8th grade or less,1,35,29.8,3209.7,AK,West,Pacific
Alaska,AK,2019,F,9th through 12th grade with no diploma,2,385,25.2,3155.5,AK,West,Pacific
Alaska,AK,2019,F,High school graduate or GED completed,3,1421,26.6,3322.8,AK,West,Pacific
Alaska,AK,2019,F,"Some college credit, but not a degree",4,1191,28.2,3368.6,AK,West,Pacific
Alaska,AK,2019,F,"Associate degree (AA, AS)",5,365,30.3,3384.8,AK,West,Pacific
Alaska,AK,2019,F,"Bachelor's degree (BA, AB, BS)",6,801,31.6,3370.0,AK,West,Pacific
Alaska,AK,2019,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,327,33.6,3353.8,AK,West,Pacific
Alaska,AK,2019,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,111,34.2,3343.2,AK,West,Pacific
Alaska,AK,2019,F,Unknown or Not Stated,-9,67,29.4,3358.9,AK,West,Pacific
Alaska,AK,2019,M,8th grade or less,1,33,29.8,3283.4,AK,West,Pacific
Alaska,AK,2019,M,9th through 12th grade with no diploma,2,445,25.1,3315.6,AK,West,Pacific
Alaska,AK,2019,M,High school graduate or GED completed,3,1580,26.9,3410.0,AK,West,Pacific
Alaska,AK,2019,M,"Some college credit, but not a degree",4,1255,28.3,3447.6,AK,West,Pacific
Alaska,AK,2019,M,"Associate degree (AA, AS)",5,411,30.0,3460.2,AK,West,Pacific
Alaska,AK,2019,M,"Bachelor's degree (BA, AB, BS)",6,874,31.6,3486.6,AK,West,Pacific
Alaska,AK,2019,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,309,33.0,3481.3,AK,West,Pacific
Alaska,AK,2019,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,110,34.8,3421.2,AK,West,Pacific
Alaska,AK,2019,M,Unknown or Not Stated,-9,102,28.6,3233.0,AK,West,Pacific
Alaska,AK,2020,F,8th grade or less,1,22,28.9,3301.1,AK,West,Pacific
Alaska,AK,2020,F,9th through 12th grade with no diploma,2,370,25.8,3212.7,AK,West,Pacific
Alaska,AK,2020,F,High school graduate or GED completed,3,1472,26.7,3311.5,AK,West,Pacific
Alaska,AK,2020,F,"Some college credit, but not a degree",4,1143,28.4,3321.2,AK,West,Pacific
Alaska,AK,2020,F,"Associate degree (AA, AS)",5,389,30.3,3313.8,AK,West,Pacific
Alaska,AK,2020,F,"Bachelor's degree (BA, AB, BS)",6,786,31.3,3342.6,AK,West,Pacific
Alaska,AK,2020,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,300,33.4,3327.7,AK,West,Pacific
Alaska,AK,2020,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,114,34.4,3303.8,AK,West,Pacific
Alaska,AK,2020,F,Unknown or Not Stated,-9,69,28.0,3205.0,AK,West,Pacific
Alaska,AK,2020,M,8th grade or less,1,31,29.2,3423.2,AK,West,Pacific
Alaska,AK,2020,M,9th through 12th grade with no diploma,2,365,26.0,3401.2,AK,West,Pacific
Alaska,AK,2020,M,High school graduate or GED completed,3,1522,26.7,3427.1,AK,West,Pacific
Alaska,AK,2020,M,"Some college credit, but not a degree",4,1157,28.4,3447.4,AK,West,Pacific
Alaska,AK,2020,M,"Associate degree (AA, AS)",5,424,30.2,3498.1,AK,West,Pacific
Alaska,AK,2020,M,"Bachelor's degree (BA, AB, BS)",6,793,31.5,3481.4,AK,West,Pacific
Alaska,AK,2020,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,312,33.1,3452.3,AK,West,Pacific
Alaska,AK,2020,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,116,34.3,3482.4,AK,West,Pacific
Alaska,AK,2020,M,Unknown or Not Stated,-9,84,29.2,3255.4,AK,West,Pacific
Alaska,AK,2021,F,8th grade or less,1,31,28.2,3178.6,AK,West,Pacific
Alaska,AK,2021,F,9th through 12th grade with no diploma,2,323,24.6,3301.0,AK,West,Pacific
Alaska,AK,2021,F,High school graduate or GED completed,3,1366,26.9,3310.0,AK,West,Pacific
Alaska,AK,2021,F,"Some college credit, but not a degree",4,1096,28.4,3346.9,AK,West,Pacific
Alaska,AK,2021,F,"Associate degree (AA, AS)",5,369,30.6,3332.5,AK,West,Pacific
Alaska,AK,2021,F,"Bachelor's degree (BA, AB, BS)",6,804,31.4,3324.8,AK,West,Pacific
Alaska,AK,2021,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,320,33.6,3334.7,AK,West,Pacific
Alaska,AK,2021,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,121,34.4,3302.6,AK,West,Pacific
Alaska,AK,2021,F,Unknown or Not Stated,-9,78,29.5,3060.2,AK,West,Pacific
Alaska,AK,2021,M,8th grade or less,1,29,30.5,3146.0,AK,West,Pacific
